id,tokens
19894712,34323
19896118,10176
19897476,14343
19897648,16735
19897891,4989
19898990,11444
19900404,9898
19906649,16147
19909828,11967
19911840,18137
19913635,14472
19914575,10245
19917609,12634
19919822,52016
19919824,10307
19921850,5487
19928876,23172
19931316,11108
19932081,15196
19932622,236769
19932715,15259
19939946,26199
19943044,10461
19948665,12674
19948790,54767
19950984,41304
19951999,18796
19955174,21035
19955218,13014
19961860,13114
19967355,14914
19968989,135187
20000477,12058
20000809,60987
20015051,19386
20018877,14806
20018879,28416
20025242,14122
20036323,15469
20036328,15870
20036411,51745
20040374,22865
20043918,19840
20045715,11718
20047307,19543
20047909,20370
20048065,16964
20049620,31008
20050615,23565
20052967,14665
20055482,15388
20057139,7000
20057150,11672
20059741,19641
20060808,9890
20060817,8196
20061395,24169
20063024,11983
20063894,11579
20064614,9234
20064618,12209
20074540,7720
20075158,20424
20079438,13460
20079748,74218
20081828,15665
20085781,9150
20086146,244902
20087689,10693
20088583,56098
20089849,17754
20095558,53826
20108947,24316
20118241,16523
20121244,19294
20122937,16525
20124004,16086
20124691,16084
20131801,17383
20133129,11929
20135034,9503
20136146,19801
20149107,21713
20155355,11331
20155950,18828
20156198,12499
20156491,10192
20157910,15022
20160114,13567
20163155,14412
20163191,20054
20171064,9069
20175559,153254
20176005,9134
20178978,13718
20180116,13201
20181943,19342
20182817,6754
20188209,14018
20188787,18683
20193780,14113
20194510,50274
20198665,24839
20201526,87981
20211594,12981
20214932,18912
20215586,27531
20220141,16088
20221844,8817
20228795,5969
20231391,9048
20231415,12536
20235561,15559
20302306,23097
20302511,12448
20303930,36416
20307057,89295
20329721,23143
20331418,6483
20335172,25210
20337584,11032
20351110,75740
20353808,15109
20354908,10013
20356844,14249
20358178,13375
20361767,146544
20363127,7724
20363738,19129
20371333,13269
20376636,7647
20381578,13674
20382402,14756
20383005,9275
20383009,5969
20385377,15625
20385563,21993
20385596,14081
20386955,8036
20387014,10434
20387904,12165
20388120,13898
20390226,13508
20392112,13428
20392204,13060
20394834,14838
20400532,13013
20400541,12906
20404340,16461
20407804,15365
20414651,11978
20415463,82074
20418438,5692
20419721,37346
20420909,14973
20421212,17843
20422176,17940
20427268,18933
20435740,17781
20435741,19644
20438707,9520
20442413,18518
20442897,6074
20444688,13232
20450492,20240
20451532,12706
20453094,19841
20457749,18603
20463020,20644
20465238,22440
20469888,24360
20471397,15380
20472790,12364
20476774,77310
20477891,13599
20481475,12299
20482517,19207
20482518,18827
20483909,134468
20486657,48911
20489200,21354
20489209,13526
20504042,21645
20513640,11153
20516620,45125
20517885,6054
20518745,17638
20519632,65765
20521764,22859
20521845,19123
20522910,14297
20524049,10533
20527751,19967
20527960,15236
20528921,73865
20529859,14924
20541111,90121
20542142,10112
20549272,21332
20553497,14976
20553502,14808
20557289,20107
20557293,18708
20558177,17056
20559622,12001
20561507,11557
20562284,13543
20564571,12993
20564572,12098
20572278,11733
20578000,15183
20585771,11668
20593478,10824
20600129,13958
20600629,13655
20603158,16073
20608698,13210
20614882,11540
20615386,12623
20619666,10940
20620066,11129
20624488,13984
20628058,14190
20630867,47408
20633240,16289
20635860,14279
20639204,17999
20647566,15354
20655316,14238
20655856,15986
20655986,17110
20656778,13278
20659898,14136
20662781,13114
20663952,13178
20667718,16610
20667974,15083
20669255,13610
20670441,14041
20673217,16329
20675294,20930
20675472,18933
20675586,14227
20676631,11190
20677745,5689
20681629,14967
20681655,14027
20689707,9515
20690660,12557
20695498,27809
20695994,11615
20701311,326746
20703875,13570
20709352,16892
20713411,12409
20715795,26704
20717852,8683
20722388,14778
20722631,14157
20725724,10079
20727152,14392
20730754,14108
20730758,15199
20731719,17799
20735360,17032
20736065,17202
20737579,14578
20798751,14587
20803144,12369
20809901,19254
20817362,83710
20822113,15639
20825170,20040
20826786,15062
20831184,13097
20831907,15945
20834176,13992
20835842,14728
20836570,21519
20838774,10276
20839014,13630
20843794,14529
20843800,15074
20843822,12990
20847005,14256
20862670,13581
20863139,5111
20868223,39579
20869471,13241
20875088,13981
20876533,27127
20877571,12634
20879713,11322
20883454,15137
20886312,11888
20886866,12005
20889553,15128
20889795,68609
20923763,14686
20924508,6332
20926389,15741
20926390,18851
20936278,10282
20937800,92575
20941418,15264
20945916,19226
20955519,10189
20961853,17673
20965269,12210
20966097,15529
20969952,16057
20971807,14276
20974864,5507
20980252,13041
20980257,18591
